"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 13 21:14:48 EET 2023","Mon Nov 13 21:15:08 EET 2023","19220","","Managing Candidate Statuses","","","","Admin Mark Candidate Interview Result To Failed",""
"passed","Mon Nov 13 21:14:25 EET 2023","Mon Nov 13 21:14:47 EET 2023","22192","","Managing Candidate Statuses","","","","Admin Mark Candidate Interview Result To Passed",""
